id,difficulty,category,question,gold_sparql
1,simple,class_retrieval,List all products in the Northwind database.,"PREFIX nw: <http://example.org/northwind#> SELECT ?product WHERE { ?product a nw:Product . }"
2,simple,class_retrieval,List all customers.,"PREFIX nw: <http://example.org/northwind#> SELECT ?customer WHERE { ?customer a nw:Customer . }"
3,simple,class_retrieval,List all orders.,"PREFIX nw: <http://example.org/northwind#> SELECT ?order WHERE { ?order a nw:Order . }"
4,simple,class_retrieval,List all employees.,"PREFIX nw: <http://example.org/northwind#> SELECT ?employee WHERE { ?employee a nw:Employee . }"
5,simple,class_retrieval,List all categories.,"PREFIX nw: <http://example.org/northwind#> SELECT ?category WHERE { ?category a nw:Category . }"
6,simple,class_retrieval,List all customers located in Germany.,"PREFIX nw: <http://example.org/northwind#> SELECT ?customer WHERE { ?customer a nw:Customer ; nw:country ""Germany"" . }"
7,simple,class_retrieval,List all suppliers from the USA.,"PREFIX nw: <http://example.org/northwind#> SELECT ?supplier WHERE { ?supplier a nw:Supplier ; nw:country ""USA"" . }"
8,simple,class_retrieval,List all territories in the Eastern region.,"PREFIX nw: <http://example.org/northwind#> SELECT ?territory WHERE { ?territory a nw:Territory ; nw:inRegion nw:region_1 . }"
9,simple,class_retrieval,List all shippers.,"PREFIX nw: <http://example.org/northwind#> SELECT ?shipper WHERE { ?shipper a nw:Shipper . }"
10,simple,class_retrieval,List all discontinued products.,"PREFIX nw: <http://example.org/northwind#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> SELECT ?product WHERE { ?product a nw:Product ; nw:discontinued ""true""^^xsd:boolean . }"
11,simple,property_lookup,What is the contact name for customer ALFKI?,"PREFIX nw: <http://example.org/northwind#> SELECT ?name WHERE { nw:customer_ALFKI nw:contactName ?name . }"
12,simple,property_lookup,Which category does the product Chai belong to?,"PREFIX nw: <http://example.org/northwind#> SELECT ?catName WHERE { nw:product_1 nw:belongsToCategory ?cat . ?cat nw:categoryName ?catName . }"
13,simple,property_lookup,What is the unit price of Chang?,"PREFIX nw: <http://example.org/northwind#> SELECT ?price WHERE { nw:product_2 nw:productUnitPrice ?price . }"
14,simple,property_lookup,What is the company name of supplier 1?,"PREFIX nw: <http://example.org/northwind#> SELECT ?name WHERE { nw:supplier_1 nw:companyName ?name . }"
15,simple,property_lookup,What is the job title of employee Nancy Davolio?,"PREFIX nw: <http://example.org/northwind#> SELECT ?title WHERE { nw:employee_1 nw:title ?title . }"
16,simple,property_lookup,What is the freight cost for order 10643?,"PREFIX nw: <http://example.org/northwind#> SELECT ?freight WHERE { nw:order_10643 nw:freight ?freight . }"
17,simple,property_lookup,What city does customer BERGS reside in?,"PREFIX nw: <http://example.org/northwind#> SELECT ?city WHERE { nw:customer_BERGS nw:city ?city . }"
18,simple,property_lookup,What is the description of the Beverages category?,"PREFIX nw: <http://example.org/northwind#> SELECT ?desc WHERE { nw:category_1 nw:description ?desc . }"
19,simple,property_lookup,What is the phone number of the shipper Speedy Express?,"PREFIX nw: <http://example.org/northwind#> SELECT ?phone WHERE { nw:shipper_1 nw:phone ?phone . }"
20,simple,property_lookup,What is the hire date of employee Andrew Fuller?,"PREFIX nw: <http://example.org/northwind#> SELECT ?hireDate WHERE { nw:employee_2 nw:hireDate ?hireDate . }"
