id,category,complexity,question,gold_answer
BRC-01,binary_relationship_constraint,simple,"What cardinality does the BelongsToCategory relationship enforce between Product and Category?","The BelongsToCategory relationship enforces N:1 cardinality from Product to Category. Product has total participation with cardinality N, meaning every product must participate and many products can belong to one category. Category has partial participation with cardinality 1, meaning each product maps to exactly one category, but a category may have zero or more products. This is a mandatory-many-to-optional-one relationship."
BRC-02,binary_relationship_constraint,simple,"What cardinality does the SuppliedBy relationship enforce between Product and Supplier?","The SuppliedBy relationship enforces N:1 cardinality from Product to Supplier. Product has total participation (cardinality N), meaning every product must be supplied by a supplier. Supplier has partial participation (cardinality 1), meaning each product is supplied by exactly one supplier, but a supplier may provide zero or more products. The total participation on Product ensures no product exists without a supplier."
BRC-03,binary_relationship_constraint,moderate,"The ShippedBy relationship between Order and Shipper has partial participation on both sides. What real-world scenario does this model, and how does it differ from the PlacedBy relationship?","ShippedBy has partial participation on both Order (cardinality N) and Shipper (cardinality 1). This means an order may or may not have a shipper assigned — orders that have not yet been shipped have no shipper. A shipper may also exist without having delivered any orders. In contrast, PlacedBy has total participation on Order, meaning every order must be placed by exactly one customer — no orphaned orders are allowed. The key difference is that PlacedBy is mandatory for Order while ShippedBy is optional, reflecting the business reality that orders exist before they are shipped."
BRC-04,binary_relationship_constraint,moderate,"The ServesTerritory relationship between Employee and Territory is M:N with partial participation on both sides. What does this mean for an employee who has not been assigned to any territory?","The M:N cardinality with partial participation on both Employee and Territory means that an employee may be assigned to zero, one, or many territories, and a territory may be served by zero, one, or many employees. An employee with no territory assignment is valid under this schema — they simply do not participate in the ServesTerritory relationship. This reflects the business reality described in the diagram where territory assignments define sales region coverage, but not all employees necessarily have sales territories (e.g., administrative staff). Similarly, a territory could temporarily have no assigned employees."
BRC-05,binary_relationship_constraint,complex,"Consider the chain of relationships: Order --PlacedBy--> Customer, Order --HandledBy--> Employee, Order --ShippedBy--> Shipper. What constraints does the EER diagram place on an order with respect to these three relationships, and which are mandatory vs optional?","The EER diagram places three binary relationship constraints on Order. PlacedBy has total participation on Order (N:1), meaning every order must be linked to exactly one customer — this is mandatory. HandledBy also has total participation on Order (N:1), meaning every order must be handled by exactly one employee — also mandatory. ShippedBy has partial participation on Order (N:1), meaning an order may be shipped by at most one shipper, but unshipped orders have no shipper — this is optional. Together, these constraints require that at creation time an order has a customer and an employee, but the shipper assignment can be deferred until the order is ready for shipment. The OWL ontology reflects this by using owl:qualifiedCardinality 1 for placedBy and handledBy, but owl:maxQualifiedCardinality 1 for shippedBy."
BRC-06,binary_relationship_constraint,complex,"The HasOrderLine relationship connects Order to OrderLine with total participation on both sides and 1:N cardinality. What are the full implications of this for both entities, considering OrderLine is a weak entity?","HasOrderLine has total participation on Order (cardinality 1) and total participation on OrderLine (cardinality N). Total participation on Order means every order must contain at least one order line — empty orders are not permitted. Total participation on OrderLine means every order line must belong to exactly one order — no orphaned order lines can exist. The 1:N cardinality means one order can have many order lines, but each order line belongs to exactly one order. Since OrderLine is a weak entity identified by the combination of its parent Order and referenced Product, it is existence-dependent on Order. Deleting an order would cascade to its order lines. The OWL ontology enforces this with owl:minQualifiedCardinality 1 on hasOrderLine for Order, and owl:qualifiedCardinality 1 on belongsToOrder for OrderLine."
ISA-01,isa_hierarchy_reasoning,simple,"The diagram shows Employee with a self-referencing ReportsTo relationship. What does this imply about the organizational structure?","The ReportsTo self-referencing relationship on Employee implies a hierarchical organizational structure where employees can be managers of other employees. The relationship has partial participation on both sides (cardinality N:1), meaning an employee may report to at most one manager, and a manager may have multiple direct reports. Partial participation means not every employee must participate — top-level executives have no manager. This models a tree-like hierarchy rather than a flat structure, where the root node is the top executive who reports to no one."
ISA-02,isa_hierarchy_reasoning,moderate,"Can an employee be both a manager and a subordinate simultaneously in this EER diagram? Explain with reference to the ReportsTo relationship constraints.","Yes, an employee can be both a manager and a subordinate simultaneously. The ReportsTo relationship is self-referencing on Employee with partial participation and N:1 cardinality. An employee can report to one manager (playing the subordinate role) while also having other employees report to them (playing the manager role). For example, a mid-level manager reports to a director while supervising several staff members. The only restriction the diagram explicitly states is that an employee cannot report to themselves — the OWL ontology enforces this with owl:IrreflexiveProperty on reportsTo. There is no restriction preventing an employee from appearing on both sides of different ReportsTo instances."
ISA-03,isa_hierarchy_reasoning,moderate,"The ReportsTo relationship is marked as irreflexive in the OWL ontology. What specific constraint does this encode, and why is it necessary beyond what cardinality alone expresses?","The irreflexive property (owl:IrreflexiveProperty) on reportsTo means that no employee can report to themselves — for any employee e, reportsTo(e, e) is forbidden. This constraint goes beyond cardinality because the N:1 cardinality only specifies that an employee reports to at most one other employee and that a manager can have multiple subordinates. Without irreflexivity, the cardinality constraints alone would permit an employee to be their own manager. The diagram note explicitly states 'an employee cannot report to themselves,' and the OWL ontology formalizes this as a separate axiom. This is a domain integrity constraint reflecting that self-supervision is meaningless in an organizational hierarchy."
ISA-04,isa_hierarchy_reasoning,complex,"Could the ReportsTo relationship in this diagram model a multi-level hierarchy with cycles (e.g., A reports to B, B reports to C, C reports to A)? What constraints in the diagram prevent or allow this?","The EER diagram and OWL ontology only explicitly prevent direct self-reporting through the irreflexive property on reportsTo. The N:1 cardinality ensures each employee reports to at most one manager, and functional property in OWL enforces this. However, neither the diagram nor the OWL ontology explicitly declares reportsTo as asymmetric or acyclic across multiple levels. This means cycles like A reports to B, B reports to C, C reports to A are not formally prevented by the stated constraints. In practice, a well-formed organizational hierarchy should be a directed acyclic graph (a forest), but enforcing this would require a transitive closure constraint or an additional axiom beyond what standard EER notation and OWL 2 DL can directly express. The diagram models the intended tree structure through its note but does not fully formalize acyclicity."
