id,category,complexity,question,gold_answer
EI-01,entity_identification,complex,"Read the following requirements and identify all candidate entities for a data model. List each entity and justify why it qualifies as an entity by citing specific phrases from the text.

---
The company operates as a specialty food distributor, sourcing products from suppliers around the world and selling them to a network of business customers. Each customer is a company identified by a short code and characterized by its company name, a primary contact person with a title, a mailing address including city, region, postal code, and country, and telephone and fax numbers. A customer may place multiple orders over time, though some customers who have been set up in the system may not have placed any orders yet. The business needs to maintain a complete record of every customer regardless of their order history, since even dormant accounts may become active again.

When a customer places an order, the order is recorded with the date it was placed, the date by which the customer expects delivery, and a freight charge representing the shipping cost. The freight charge should never be negative. Each order is assigned to a specific employee who is responsible for processing it, and every order must have both a customer and a responsible employee associated with it at the time it is created. An order consists of one or more line items, and an order with no line items would not be meaningful. Each line item specifies a particular product, the quantity being ordered, the unit price agreed upon for that transaction, and an optional discount expressed as a fraction between zero and one. The quantity on each line item is expected to be a whole number greater than zero, and the unit price should not be negative. It is possible for different line items on the same order to reference different products, and the same product may appear across many orders placed by different customers.

The product catalog organizes items into categories such as Beverages, Condiments, and Confections. Each category has a name and a brief description of the kinds of products it contains. Every product belongs to exactly one category, and a category may contain many products. Products are tracked by name, list price, the number of units currently in stock, the number of units on order from the supplier, a reorder level, and a flag indicating whether the product has been discontinued. When the stock on hand for a product drops below its reorder level, the product is considered to need reordering from the supplier. A product that has been marked as discontinued should not be added to any new orders, although historical orders that included the product before discontinuation remain valid and are kept on record. The business relies on this distinction to ensure that staff processing new orders do not inadvertently select items that are no longer available.

Each product is sourced from exactly one supplier. A supplier is a company with a contact person, address details similar to those kept for customers, telephone and fax numbers, and optionally a reference to the supplier's home page. A supplier may provide multiple products, and the relationship between a product and its supplier is expected to remain stable once established. The company depends on timely communication with suppliers, particularly when reorder levels are triggered, so having accurate and up-to-date contact information for each supplier is considered essential.

The company employs a team of staff members, each identified by a unique number and described by their first and last name, job title, date of birth, hire date, home address, home telephone number, an internal telephone extension, and free-text notes summarizing their background. Employees are organized in a reporting hierarchy: most employees report to a single manager, who is also an employee. However, the top-level executive does not report to anyone, and it is not possible for an employee to report to themselves. This hierarchy is used for approval workflows and performance tracking. Employees are also responsible for handling customer orders, and a given employee may handle many orders over time, while each order is handled by exactly one employee.

For sales territory management, the company divides its market into broad geographic regions such as Eastern, Western, Northern, and Southern. Each region is identified by a number and a descriptive name. Within each region there are one or more territories, each with its own identifier and description. Every territory falls within exactly one region. Employees are assigned to territories to define their sales coverage area, and this assignment is flexible: a single employee may serve multiple territories, and a single territory may be covered by more than one employee. The territories assigned to an employee collectively determine which geographic area that employee is responsible for, and this information is used for sales reporting and workload distribution.

Once an order is ready to be shipped, it is assigned to a shipping company. The company works with several shippers, each identified by a number and characterized by a company name and telephone number. A shipped order records the date it was dispatched and the shipper that handled the delivery. However, not every order has been shipped at any given point in time. Orders that are still being processed or are awaiting shipment will not have a shipper or a shipped date assigned to them. A shipper may deliver many orders, and the choice of shipper for a particular order may depend on factors such as destination, cost, and delivery speed.

Taken together, the system should ensure that every order is tied to a known customer and a responsible employee, that each line item points to a recognized product with sensible quantity and pricing information, that products are properly categorized and linked to their suppliers, that the employee hierarchy is maintained without circular reporting, and that territory assignments provide clear coverage of all sales regions. The business expects that discontinued products are kept out of new transactions, that reorder alerts are raised when stock levels fall below thresholds, and that shipping information is recorded accurately once an order leaves the warehouse.
---","The gold-standard EER diagram identifies 10 entities. (1) Customer — justified by ""each customer is a company identified by a short code"" with multiple described attributes. (2) Order — justified by ""the order is recorded with the date it was placed"" and its own key (orderID) and attributes. (3) OrderLine (weak entity) — justified by ""an order consists of one or more line items,"" each specifying quantity, unit price, and discount; it is existence-dependent on Order and identified by the combination of its parent Order and the referenced Product. (4) Product — justified by ""products are tracked by name, list price"" and multiple inventory attributes. (5) Category — justified by ""the product catalog organizes items into categories"" with name and description. (6) Supplier — justified by ""a supplier is a company with a contact person, address details"" and its own identifier. (7) Employee — justified by ""each identified by a unique number"" with extensive personal attributes. (8) Territory — justified by ""each with its own identifier and description."" (9) Region — justified by ""each region is identified by a number and a descriptive name."" (10) Shipper — justified by ""each identified by a number and characterized by a company name and telephone number."" OrderLine is a weak entity because it has no independent key; it depends on Order for identification. All other entities have their own explicit identifiers mentioned in the text."
EI-02,entity_identification,moderate,"Read the following requirements excerpt and identify all candidate entities related to order processing.

---
When a customer places an order, the order is recorded with the date it was placed, the date by which the customer expects delivery, and a freight charge representing the shipping cost. The freight charge should never be negative. Each order is assigned to a specific employee who is responsible for processing it, and every order must have both a customer and a responsible employee associated with it at the time it is created. An order consists of one or more line items, and an order with no line items would not be meaningful. Each line item specifies a particular product, the quantity being ordered, the unit price agreed upon for that transaction, and an optional discount expressed as a fraction between zero and one. The quantity on each line item is expected to be a whole number greater than zero, and the unit price should not be negative. It is possible for different line items on the same order to reference different products, and the same product may appear across many orders placed by different customers.

Once an order is ready to be shipped, it is assigned to a shipping company. The company works with several shippers, each identified by a number and characterized by a company name and telephone number. A shipped order records the date it was dispatched and the shipper that handled the delivery. However, not every order has been shipped at any given point in time. Orders that are still being processed or are awaiting shipment will not have a shipper or a shipped date assigned to them. A shipper may deliver many orders, and the choice of shipper for a particular order may depend on factors such as destination, cost, and delivery speed.
---","From this excerpt, four entities are identifiable. (1) Order — the central entity, with attributes orderDate, requiredDate, shippedDate, and freight; the text says ""the order is recorded with the date it was placed."" (2) OrderLine — a weak entity, since each ""line item specifies a particular product, the quantity being ordered, the unit price agreed upon for that transaction, and an optional discount""; it is existence-dependent on Order because ""an order with no line items would not be meaningful."" (3) Product — referenced because ""each line item specifies a particular product"" and ""the same product may appear across many orders,"" indicating Product is an independent entity that participates in many order lines. (4) Shipper — ""each identified by a number and characterized by a company name and telephone number,"" making it a distinct entity with its own key. Customer and Employee are also referenced (""every order must have both a customer and a responsible employee"") but their full definitions are outside this excerpt; they should still be listed as entities that participate in the order subsystem."
EI-03,entity_identification,moderate,"Read the following requirements excerpt and identify all candidate entities related to the product catalog and supplier management.

---
The product catalog organizes items into categories such as Beverages, Condiments, and Confections. Each category has a name and a brief description of the kinds of products it contains. Every product belongs to exactly one category, and a category may contain many products. Products are tracked by name, list price, the number of units currently in stock, the number of units on order from the supplier, a reorder level, and a flag indicating whether the product has been discontinued. When the stock on hand for a product drops below its reorder level, the product is considered to need reordering from the supplier. A product that has been marked as discontinued should not be added to any new orders, although historical orders that included the product before discontinuation remain valid and are kept on record. The business relies on this distinction to ensure that staff processing new orders do not inadvertently select items that are no longer available.

Each product is sourced from exactly one supplier. A supplier is a company with a contact person, address details similar to those kept for customers, telephone and fax numbers, and optionally a reference to the supplier's home page. A supplier may provide multiple products, and the relationship between a product and its supplier is expected to remain stable once established. The company depends on timely communication with suppliers, particularly when reorder levels are triggered, so having accurate and up-to-date contact information for each supplier is considered essential.
---","Three entities emerge from this excerpt. (1) Product — justified by ""products are tracked by name, list price, the number of units currently in stock, the number of units on order from the supplier, a reorder level, and a flag indicating whether the product has been discontinued."" Product has a rich set of attributes and is clearly an independently identifiable thing with its own key (productID). (2) Category — justified by ""the product catalog organizes items into categories"" and ""each category has a name and a brief description,"" giving it its own identity and descriptive attributes (categoryID, categoryName, description). (3) Supplier — justified by ""a supplier is a company with a contact person, address details similar to those kept for customers, telephone and fax numbers, and optionally a reference to the supplier's home page."" Supplier has its own identifier (supplierID) and a full set of contact attributes. These three entities form a chain: Product belongs to Category and is supplied by Supplier."
EI-04,entity_identification,moderate,"Read the following requirements excerpt and identify all candidate entities related to staffing, territories, and regions.

---
The company employs a team of staff members, each identified by a unique number and described by their first and last name, job title, date of birth, hire date, home address, home telephone number, an internal telephone extension, and free-text notes summarizing their background. Employees are organized in a reporting hierarchy: most employees report to a single manager, who is also an employee. However, the top-level executive does not report to anyone, and it is not possible for an employee to report to themselves. This hierarchy is used for approval workflows and performance tracking. Employees are also responsible for handling customer orders, and a given employee may handle many orders over time, while each order is handled by exactly one employee.

For sales territory management, the company divides its market into broad geographic regions such as Eastern, Western, Northern, and Southern. Each region is identified by a number and a descriptive name. Within each region there are one or more territories, each with its own identifier and description. Every territory falls within exactly one region. Employees are assigned to territories to define their sales coverage area, and this assignment is flexible: a single employee may serve multiple territories, and a single territory may be covered by more than one employee. The territories assigned to an employee collectively determine which geographic area that employee is responsible for, and this information is used for sales reporting and workload distribution.
---","Three entities are identifiable from this excerpt. (1) Employee — justified by ""each identified by a unique number"" with extensive attributes including firstName, lastName, title, birthDate, hireDate, address, homePhone, extension, and notes. The self-referencing reporting hierarchy (""most employees report to a single manager, who is also an employee"") means Employee also participates in a recursive relationship with itself. (2) Territory — justified by ""each with its own identifier and description,"" making it an independently identifiable entity with territoryID and territoryDescription. (3) Region — justified by ""each region is identified by a number and a descriptive name,"" giving it regionID and regionDescription. The text also references Order (""employees are also responsible for handling customer orders""), indicating Employee participates in relationships with entities outside this excerpt. The many-to-many assignment between Employee and Territory (""a single employee may serve multiple territories, and a single territory may be covered by more than one employee"") is a key structural feature of this subsystem."
RI-01,relationship_identification,complex,"Read the following requirements and identify all relationships between entities, specifying the cardinality and participation constraints for each.

---
The company operates as a specialty food distributor, sourcing products from suppliers around the world and selling them to a network of business customers. Each customer is a company identified by a short code and characterized by its company name, a primary contact person with a title, a mailing address including city, region, postal code, and country, and telephone and fax numbers. A customer may place multiple orders over time, though some customers who have been set up in the system may not have placed any orders yet. The business needs to maintain a complete record of every customer regardless of their order history, since even dormant accounts may become active again.

When a customer places an order, the order is recorded with the date it was placed, the date by which the customer expects delivery, and a freight charge representing the shipping cost. The freight charge should never be negative. Each order is assigned to a specific employee who is responsible for processing it, and every order must have both a customer and a responsible employee associated with it at the time it is created. An order consists of one or more line items, and an order with no line items would not be meaningful. Each line item specifies a particular product, the quantity being ordered, the unit price agreed upon for that transaction, and an optional discount expressed as a fraction between zero and one. The quantity on each line item is expected to be a whole number greater than zero, and the unit price should not be negative. It is possible for different line items on the same order to reference different products, and the same product may appear across many orders placed by different customers.

The product catalog organizes items into categories such as Beverages, Condiments, and Confections. Each category has a name and a brief description of the kinds of products it contains. Every product belongs to exactly one category, and a category may contain many products. Products are tracked by name, list price, the number of units currently in stock, the number of units on order from the supplier, a reorder level, and a flag indicating whether the product has been discontinued. When the stock on hand for a product drops below its reorder level, the product is considered to need reordering from the supplier. A product that has been marked as discontinued should not be added to any new orders, although historical orders that included the product before discontinuation remain valid and are kept on record. The business relies on this distinction to ensure that staff processing new orders do not inadvertently select items that are no longer available.

Each product is sourced from exactly one supplier. A supplier is a company with a contact person, address details similar to those kept for customers, telephone and fax numbers, and optionally a reference to the supplier's home page. A supplier may provide multiple products, and the relationship between a product and its supplier is expected to remain stable once established. The company depends on timely communication with suppliers, particularly when reorder levels are triggered, so having accurate and up-to-date contact information for each supplier is considered essential.

The company employs a team of staff members, each identified by a unique number and described by their first and last name, job title, date of birth, hire date, home address, home telephone number, an internal telephone extension, and free-text notes summarizing their background. Employees are organized in a reporting hierarchy: most employees report to a single manager, who is also an employee. However, the top-level executive does not report to anyone, and it is not possible for an employee to report to themselves. This hierarchy is used for approval workflows and performance tracking. Employees are also responsible for handling customer orders, and a given employee may handle many orders over time, while each order is handled by exactly one employee.

For sales territory management, the company divides its market into broad geographic regions such as Eastern, Western, Northern, and Southern. Each region is identified by a number and a descriptive name. Within each region there are one or more territories, each with its own identifier and description. Every territory falls within exactly one region. Employees are assigned to territories to define their sales coverage area, and this assignment is flexible: a single employee may serve multiple territories, and a single territory may be covered by more than one employee. The territories assigned to an employee collectively determine which geographic area that employee is responsible for, and this information is used for sales reporting and workload distribution.

Once an order is ready to be shipped, it is assigned to a shipping company. The company works with several shippers, each identified by a number and characterized by a company name and telephone number. A shipped order records the date it was dispatched and the shipper that handled the delivery. However, not every order has been shipped at any given point in time. Orders that are still being processed or are awaiting shipment will not have a shipper or a shipped date assigned to them. A shipper may deliver many orders, and the choice of shipper for a particular order may depend on factors such as destination, cost, and delivery speed.

Taken together, the system should ensure that every order is tied to a known customer and a responsible employee, that each line item points to a recognized product with sensible quantity and pricing information, that products are properly categorized and linked to their suppliers, that the employee hierarchy is maintained without circular reporting, and that territory assignments provide clear coverage of all sales regions. The business expects that discontinued products are kept out of new transactions, that reorder alerts are raised when stock levels fall below thresholds, and that shipping information is recorded accurately once an order leaves the warehouse.
---","The gold-standard EER diagram defines 10 relationships. (1) PlacedBy: Order (total, N) to Customer (partial, 1) — ""each order is placed by exactly one customer; a customer may place zero or more orders."" (2) HandledBy: Order (total, N) to Employee (partial, 1) — ""each order is handled by exactly one employee; an employee may handle zero or more orders."" (3) ShippedBy: Order (partial, N) to Shipper (partial, 1) — ""an order may be shipped by at most one shipper; not every order has been shipped."" (4) HasOrderLine: Order (total, 1) to OrderLine (total, N) — ""an order consists of one or more line items; OrderLine is existence-dependent on Order."" (5) IncludesProduct: OrderLine (total, N) to Product (partial, 1) — ""each line item references exactly one product; a product may appear on zero or more order lines."" (6) BelongsToCategory: Product (total, N) to Category (partial, 1) — ""every product belongs to exactly one category."" (7) SuppliedBy: Product (total, N) to Supplier (partial, 1) — ""each product is sourced from exactly one supplier."" (8) ReportsTo: Employee (partial, N) to Employee (partial, 1) — a recursive self-relationship; ""most employees report to a single manager; the top-level executive does not report to anyone."" (9) ServesTerritory: Employee (partial, M) to Territory (partial, N) — M:N because ""a single employee may serve multiple territories, and a single territory may be covered by more than one employee."" (10) InRegion: Territory (total, N) to Region (partial, 1) — ""every territory falls within exactly one region."""
RI-02,relationship_identification,moderate,"Read the following requirements excerpt and identify the chain of relationships connecting customers to products through orders.

---
Each customer is a company identified by a short code and characterized by its company name, a primary contact person with a title, a mailing address including city, region, postal code, and country, and telephone and fax numbers. A customer may place multiple orders over time, though some customers who have been set up in the system may not have placed any orders yet.

When a customer places an order, the order is recorded with the date it was placed, the date by which the customer expects delivery, and a freight charge representing the shipping cost. Each order is assigned to a specific employee who is responsible for processing it, and every order must have both a customer and a responsible employee associated with it at the time it is created. An order consists of one or more line items, and an order with no line items would not be meaningful. Each line item specifies a particular product, the quantity being ordered, the unit price agreed upon for that transaction, and an optional discount expressed as a fraction between zero and one. It is possible for different line items on the same order to reference different products, and the same product may appear across many orders placed by different customers.
---","Four relationships form the order processing chain. (1) PlacedBy links Order to Customer with cardinality N:1 — ""every order must have both a customer"" makes Order's participation total, while ""some customers may not have placed any orders yet"" makes Customer's participation partial. (2) HandledBy links Order to Employee with cardinality N:1 — ""each order is assigned to a specific employee"" makes Order's participation total, and Employee's participation is partial since the text says ""a given employee may handle many orders."" (3) HasOrderLine links Order to OrderLine with cardinality 1:N — ""an order consists of one or more line items"" establishes total participation on both sides, and OrderLine is a weak entity dependent on Order. (4) IncludesProduct links OrderLine to Product with cardinality N:1 — ""each line item specifies a particular product"" makes OrderLine's participation total, while ""the same product may appear across many orders"" makes Product's participation partial. Together these form the chain: Customer --(1:N)--> Order --(1:N)--> OrderLine --(N:1)--> Product."
RI-03,relationship_identification,moderate,"Read the following requirements excerpt and identify the relationships involving employees, including the self-referencing hierarchy and territory assignments.

---
The company employs a team of staff members, each identified by a unique number and described by their first and last name, job title, date of birth, hire date, home address, home telephone number, an internal telephone extension, and free-text notes summarizing their background. Employees are organized in a reporting hierarchy: most employees report to a single manager, who is also an employee. However, the top-level executive does not report to anyone, and it is not possible for an employee to report to themselves. This hierarchy is used for approval workflows and performance tracking. Employees are also responsible for handling customer orders, and a given employee may handle many orders over time, while each order is handled by exactly one employee.

For sales territory management, the company divides its market into broad geographic regions such as Eastern, Western, Northern, and Southern. Each region is identified by a number and a descriptive name. Within each region there are one or more territories, each with its own identifier and description. Every territory falls within exactly one region. Employees are assigned to territories to define their sales coverage area, and this assignment is flexible: a single employee may serve multiple territories, and a single territory may be covered by more than one employee.
---","Three relationships involve Employee in this excerpt. (1) ReportsTo is a recursive (self-referencing) relationship on Employee. The text states ""most employees report to a single manager, who is also an employee,"" establishing cardinality N:1 (many subordinates to one manager). Participation is partial on both sides: ""the top-level executive does not report to anyone"" means not every employee has a manager, and not every employee is necessarily a manager. The constraint ""it is not possible for an employee to report to themselves"" is an additional integrity rule. (2) ServesTerritory links Employee to Territory with cardinality M:N — ""a single employee may serve multiple territories, and a single territory may be covered by more than one employee."" Participation is partial on both sides since not all employees must serve territories and not all territories must be served. (3) HandledBy links Employee to Order with cardinality 1:N from Employee's perspective — ""a given employee may handle many orders over time, while each order is handled by exactly one employee."" Employee participation is partial (an employee might handle zero orders), while Order participation is total."
RI-04,relationship_identification,simple,"Read the following requirements excerpt and identify the relationships connecting Product, Category, and Supplier.

---
The product catalog organizes items into categories such as Beverages, Condiments, and Confections. Each category has a name and a brief description of the kinds of products it contains. Every product belongs to exactly one category, and a category may contain many products.

Each product is sourced from exactly one supplier. A supplier is a company with a contact person, address details similar to those kept for customers, telephone and fax numbers, and optionally a reference to the supplier's home page. A supplier may provide multiple products, and the relationship between a product and its supplier is expected to remain stable once established.
---","Two relationships connect these three entities. (1) BelongsToCategory links Product (total participation, N) to Category (partial participation, 1). ""Every product belongs to exactly one category"" establishes total participation for Product and a cardinality of N:1. ""A category may contain many products"" means Category is on the 1-side with partial participation (a category could theoretically exist with no products yet assigned). (2) SuppliedBy links Product (total participation, N) to Supplier (partial participation, 1). ""Each product is sourced from exactly one supplier"" makes Product's participation total. ""A supplier may provide multiple products"" puts Supplier on the 1-side. Both relationships are mandatory for Product: every product must have exactly one category and exactly one supplier. The phrase ""the relationship between a product and its supplier is expected to remain stable once established"" further indicates that SuppliedBy is not expected to change over time, which could inform update constraints in a physical design."
IC-01,implicit_cardinality_inference,simple,"What cardinality does the following sentence imply for the relationship between Customer and Order?

""A customer may place multiple orders over time, though some customers who have been set up in the system may not have placed any orders yet.""","This sentence implies a 1:N (one-to-many) relationship from Customer to Order with partial participation on the Customer side. The word ""multiple"" establishes that one customer can be associated with many orders (the N side). The phrase ""may not have placed any orders yet"" explicitly permits a customer to exist with zero associated orders, which defines partial participation — not every Customer instance must participate in the relationship. From the Order side, this sentence alone does not specify whether an order can belong to multiple customers, but the natural reading (combined with domain knowledge) suggests each order belongs to exactly one customer. The use of ""may"" is significant: it signals optionality rather than obligation, reinforcing the partial participation constraint on the Customer side."
IC-02,implicit_cardinality_inference,simple,"What cardinality does the following sentence imply for the relationship between Order and Customer?

""Every order must be associated with exactly one customer.""","This sentence implies N:1 cardinality from Order to Customer with total participation on the Order side. The word ""every"" combined with ""must"" establishes total participation — no order can exist without being linked to a customer. ""Exactly one"" constrains the cardinality to 1 on the Customer side of the relationship, meaning each order maps to precisely one customer, not zero and not more than one. This is a mandatory constraint: the system should reject any attempt to create an order without an associated customer. The phrasing is unambiguous — ""must"" is normative and ""exactly one"" is precise — leaving no room for optional or multiple associations. From a modeling perspective, Order has total participation in the PlacedBy relationship."
